data_found,bio_project,era,protocol,ref_genome,paper_title,author,doi,supplementary_data_local,comments
y,PRJEB15516,ancient,PALEOMIX,EquCab2,Combining bleach and mild predigestion improves ancient DNA recovery from bones,Star,doi.org/10.1111/1755-0998.12623,,"not all reads are horse, filter out those that aren’t"
y,PRJEB10098,modern,PALEOMIX,EquCab2,Evolutionary Genomics and Conservation of the Endangered Przewalski’s Horse,Orlando,doi.org/10.1016/j.cub.2015.08.032Get,,21 domesticated and 17 Przewalski’s horses
y,PRJEB31613,ancient,PALEOMIX,EquCab2,Tracking Five Millennia of Horse Management with Extensive Ancient Genome Time Series,Orlando,doi.org/10.1016/j.cell.2019.03.049,,likely paleomix
y,SRA082086,both,,EquCab2,Recalibrating Equus evolution using the genome sequence of an early Middle Pleistocene horse,Orlando,doi.org/10.1038/nature12323,,
y,PRJEB10098,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB10854,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB12979,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB13863,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB14651,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB14779,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB19970,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB5942,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB9139,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB9267,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB9269,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJEB9799,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA168142,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA169102,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA184688,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA230019,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA233529,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA233533,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA246445,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA273402,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA291776,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA306677,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,PRJNA357976,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
y,SRP012260,modern,PALEOMIX,EquCab2,Origin and Evolution of Deleterious Mutations in Horses.,Orlando,10.3390/genes10090649,/genes-10-00649-s001/TableS1.final.csv,"﻿175 modern horses, project codes noted in supplementary material"
